#Urban population growth: annual %
"country",1960,"1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Benin",7.020827606,8.05391689450652,7.7156002834601,7.42057765411434,7.15934765306352,6.92787140637942,8.12210815549826,7.79561729581657,7.52036364206929,7.2917204515071,7.1001735028478,8.11558606778726,7.84901736822255,7.61650605382713,7.41104908753842,7.22824668663504,7.25848242543812,7.09488046504542,6.94656518963486,6.81075969294113,6.68551943478014,5.1782180957076,5.16692709256292,5.13762374842883,5.08591944892574,5.02541020566109,5.09192932973642,5.02445197477533,5.03024678083908,5.12586964946573,5.26800998419396,4.62582928112385,4.76350038986179,4.7813087767972,4.6543389264509,4.44353993566049,3.83168500323937,3.65925840710877,3.58341894718339,3.63201998117454,3.75723898468146,4.45830806700123,4.53699286116982,4.56552607963455,4.52860707265069,4.44814425402746,4.64469836511514,4.56480218797341,4.48334233723625,4.40320140204417,4.3255601411061,4.24537535839951
"Bermuda",1.350920844,2.44728565187257,2.38882151746954,2.33308567626953,2.48459985865308,2.42436116099929,1.78046246335067,1.94180858571015,1.90481949706944,1.86921330121525,1.83491386681966,-0.729930248161161,-0.735297430525881,-0.74074412778618,-0.74627212015896,-0.751883241402734,0.376648279547686,0.375234961855037,0.373832211060716,0.372439909098249,0.371057939653555,0.738010729762246,0.732604009207288,0.727275932907988,0.72202479734871,0.71684894786125,1.59436503971359,1.56934345460465,1.54509511557189,1.52158472372532,1.49877909654917,0.823049913651544,0,0,0.490597876885441,0.650408796917648,0.161943355230298,0.161681522690526,0.16142053545412,0,0.161160389434161,0.642056780292276,0.478851673179709,0.317965291737981,0.47506027585978,0.47281411959459,0.313972000466785,0.312989300892757,0.312012733624368,0.311042241439255,-0.253426443774202,0.718183283428881
"Bhutan",7.102415695,8.51421739039459,8.20082714082586,7.94244422552498,7.73397567611304,7.56758404123335,8.67468865462166,8.42735343097855,8.25860690282354,8.17034497335907,8.12835731536937,9.29880237398936,9.12389059119361,8.91207465045966,8.64976030262098,8.3527355225526,9.20700338837132,8.83632539209238,8.44423142102235,8.02310329387103,7.59655425587377,8.14840546966146,7.60679234270592,7.27399907820715,7.19643121314001,7.24882028039017,8.39754455217977,8.37137831170226,7.85423787540052,6.72823609823672,5.25905745940848,4.44529089425357,3.00266027407762,2.18811399052598,2.31978909300759,3.19676369794109,5.01821446986982,5.90484345863929,6.54823699070361,6.78988368817881,6.73635892463555,7.1684606370358,7.10776678198094,6.92786124628252,6.62371699005185,6.24419935657918,4.74959184069927,4.42346161918883,4.16790583070237,4.01445709443921,3.93038369215142,3.8834582346376
"Bolivia",3.021590383,3.02869347505758,3.03058054191594,3.03556082965683,3.0448155701806,3.05716123239414,3.07904443370462,3.08738802090307,3.10203310014068,3.12463289791568,3.15019136369355,3.18355533501964,3.19891479961804,3.20230467220712,3.19111737337863,3.16862941154253,4.38858857705237,4.33288242017314,4.26363925950342,4.17843211299493,4.08595705313253,4.39303158268335,4.29581567951483,4.22510198267484,4.18728172127846,4.17266398946462,4.15716321413811,4.14158185286475,4.1307780785,4.12356623871622,4.11617290264592,3.6730144824739,3.67376112574203,3.65484140302589,3.6118098473187,3.55208043496598,3.02293652466074,2.9688603832292,2.91913891197059,2.87701203859249,2.83892366637873,2.77822025063005,2.73818741337068,2.68600143475662,2.61859070281678,2.54283353711352,2.42043496089218,2.35272483897139,2.30122234307475,2.27077026477317,2.25556484169396,2.20037614347025
"Bosnia and Herzegovina",4.428512694,5.30742552420415,5.13649669303554,4.95348078033544,4.74842026627334,4.53347600829351,4.83295777123913,4.60882824786435,4.42989383848093,4.30681711628275,4.2238910106508,3.9516949705609,3.89942522154364,3.82670799014893,3.72173692143609,3.59772077330794,3.57228814639326,3.45624496377204,3.37675826217476,3.34528420844698,3.3459541653329,2.05970015480815,2.00775742783025,2.05168395830758,2.22310931899076,2.43446259274717,2.62965194357455,2.88408149541433,2.48773257314918,1.25569089641979,-0.507779453192733,-2.66353063494771,-4.70278075257473,-5.7972569105968,-5.16059719296505,-2.9590668022798,0.175670583702804,2.75967352534334,4.30369208235093,4.36627297390819,3.46502707693676,2.50480253846404,1.75621251639707,1.19532371614788,0.968374762852504,0.984880144508735,1.10239307525733,1.00762275805709,0.934793991352915,0.880681697577356,0.841422205315657,0.914062816339257
"Botswana",3.569664374,7.33164018575028,7.20029522351989,7.08860921659572,6.98723417657868,6.89654014460801,21.7545859527022,18.8401474152952,16.7459375431273,15.1684093445821,13.940920251848,13.074532729493,12.2470251491545,11.5990830158326,11.105623748542,10.7156074501991,11.248324967133,10.8306216060064,10.4056279422124,9.94948402528656,9.4842549603487,15.3352185152942,13.9915894647577,12.9015737059838,12.0133303849825,11.2741316116308,14.0227996592756,12.9074515515438,11.9820649587294,11.201396665439,10.5287035518902,6.24305388967445,6.06401833377479,5.86903441953726,5.6536128771144,5.42482446682004,4.08803883424059,3.92989431285238,3.74748117849539,3.53560633718838,3.31207179049325,3.02697815577802,2.82323846540578,2.69474175516142,2.66352399983801,2.69826958713849,2.6041782238475,2.64349600631407,2.64202066227528,2.58079481140402,2.47883808921421,2.21909659615145
"Brazil",4.927170585,5.10228476849738,5.08467662758606,5.02730049896285,4.92050101510053,4.78316366627546,4.63345780362298,4.5104416675722,4.40098765646574,4.31036596848897,4.23486439023276,4.1642138627062,4.0935259264905,4.03841891217223,4.00096909831337,3.97525713880973,3.88432900856189,3.85694543362276,3.83148812003641,3.8072064455334,3.78055203938247,3.66933369727643,3.63742762172304,3.58154316929961,3.49651166826451,3.39234343857086,3.19177570908403,3.09507532952487,3.00128884974968,2.91298567618448,2.83102879846453,2.64744378247392,2.57099733258344,2.51654564164677,2.48936626530838,2.48002846721838,2.44826127290547,2.43620364337068,2.41326556069878,2.37457098521558,2.3235865086286,1.79948459818029,1.75653032220042,1.69925285677587,1.62470555993927,1.54016683025194,1.41606353888229,1.33455861216042,1.27444251430735,1.24323070196691,1.23238267330202,1.19011158170562
"British Virgin Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brunei",8.938978072,8.58710976637295,8.37326298605584,8.21411438415942,8.1064781178864,8.03187654347331,7.89367680997384,7.81239615148818,7.74141894815255,7.67205815283868,7.59899716262226,4.72900866787728,4.70604178083314,4.64000388590951,4.52565093273123,4.37972560359165,3.45517111372371,3.31209411665651,3.13439280388784,2.92037982780838,2.69217651354914,3.95418229425799,3.75788665619103,3.62419888219654,3.56694854008304,3.56159093837364,3.95187431517252,3.93736453104661,3.92912496123276,3.92235137044506,3.91483992618446,3.6784027055767,3.67031656093352,3.63657099264182,3.57178631016713,3.48657360879148,3.31313398137802,3.23103567626672,3.14921628622202,3.07022128890253,2.9938526400966,2.87060269833207,2.79649049843667,2.73270853694364,2.68210667338325,2.63954808168992,2.52575997683681,2.48538043047972,2.44227255373515,2.39411130373128,2.34303587031638,2.223772799581
"Bulgaria",3.625321487,5.51834858951266,5.23653613720473,4.98937032361912,4.82742925283893,4.5885245962806,3.47543142163993,3.37309040728813,3.3820535065285,3.36915487864426,3.18944981322803,2.54225567515252,2.41855600072294,2.43655012184824,2.54786567548092,2.32794856222277,1.99759678890502,2.0594342054382,1.62877322353218,1.62931155382873,1.87478775864993,1.13200280263429,1.08821752147654,1.03572161857372,1.01401479697624,0.772531776372373,0.525291393279334,0.695892187612257,0.658160121790771,-0.62721358027032,-1.26385614924132,-0.567980130668937,-0.653184441632306,-0.378759313868026,0.077572949175075,-0.029972461543671,-0.186685798134962,-0.280832423202496,-0.340409864555454,-0.234820496716401,-0.169126878710299,-1.48076799763895,-1.54152088363459,-0.204267814598008,-0.176586599546829,-0.166230385261927,0.13649595977333,0.150473376812961,0.181375068827084,0.149826721573983,-0.023759033622071,-0.01074948564717
"Burkina Faso",3.745739202,3.6210738539453,3.58296014271135,3.56909308764305,3.58748069668926,3.62737648108471,3.86299303608131,3.89372973909875,3.91051664818212,3.90748554363255,3.89190519774559,4.05575833885783,4.03960532224965,4.03220575921759,4.03627679879934,4.04854492277527,9.64613902130549,9.17477224780371,8.77083091379916,8.42157418618202,8.11684053011246,10.127082892277,9.61724514813089,9.17774365326588,8.79411598758039,8.45630002077138,4.96584542161636,4.93816782379057,4.91070428597846,4.88340963648494,4.85618527488676,4.59624965208622,4.57984157793077,4.56080592467604,4.53869375240082,4.51521648897457,6.29066449803066,6.17947895615015,6.07952226687156,5.99100527093442,5.91185974073336,6.89826026596019,6.75766650223845,6.63051330512838,6.51565754165784,6.41054975886361,6.70427604451575,6.58462158515683,6.4707480076047,6.36111408810506,6.25548770666594,6.21358004583508
"Burundi",2.806263958,3.44964463542248,3.39453445992393,3.36886367935492,3.38155809219489,3.41137548401439,3.4646794756223,3.5070428152511,3.42092807303039,3.171202794577,2.83066933110504,7.8135999385626,7.11953342612047,6.67011822874688,6.52305751253267,6.59657931794903,8.40700512260174,8.33771611658634,8.29034998332756,8.22933394275188,8.14947735381438,7.02090503232869,7.02816069569757,6.97832707785064,6.86358058644627,6.69604232661459,7.1409303241817,6.90380086268416,6.60560826963416,6.23862250518112,5.83291607975903,5.11380848205336,4.79044488549965,4.45837823539798,4.1164539026308,3.79216997027997,3.70541601285913,3.4215910658824,3.3560614357078,3.57048639925122,3.9752259814156,4.64819029948698,5.00847043588875,5.27075573735148,5.39243651308653,5.40360166611625,5.69515275748893,5.67290567053614,5.54290006235563,5.29283407385466,4.97139081511791,4.92030849652803
