"country","modified.area","modified.pop","pop.den"
"THAILAND",468346.376527093,58187296.5524111,124.2398777244
"TOGO",55422.2207264069,4025540.07655568,72.6340450418
"TRINIDAD",3513.9692619718,603443.188682695,171.72694002
"TUNISIA",85679.0199905019,7399280.9979878,86.3604765648
"TURKEY",737813.928141277,58223046.6910876,78.9129135008
"TURKMENISTAN",47296.1795517916,2322974.88712129,49.1154868984
"UAE",11351.3049317141,1237738.13956329,109.0392820041
"UK",179871.302044815,52871836.4412379,293.9425902864
"UKRAINE",558743.691340918,47109217.6353903,84.3127508471
"URUGUAY",10937.4556203324,1540779.21823817,140.8718144075
"USA",2192528.73910648,232003939.835678,105.8156892987
"UZBEKISTAN",169073.1504667,20859712.2136361,123.3768469805
"VENEZUELA",190173.601428675,18071024.7607168,95.023834144
"VIETNAM",288990.313561216,67011940.3087133,231.8829980248
"YEMEN",124480.336004504,15536921.9402992,124.8142673694
"ZAMBIA",79938.7735544954,4707014.79755604,58.8827497378
"ZIMBABWE",216695.742964391,10443808.4166346,48.1957249079
